"ATTACHMENTS","إرفاق ملفات"
"Purchase Receipt","إيصال استلام مشتريات"
"Received Items To Be Billed","الأصناف الواردة إلى أن توصف"
"Accounting Dimensions","الأبعاد المحاسبية"
"Subcontracted Raw Materials To Be Transferred","المواد الخام المتعاقد عليها من الباطن"
"Currency exchange rate master.","أساس أسعار صرف العملات."
"Sales Person Target Variance Based On Item Group","شخص المبيعات التباين المستهدف بناء على مجموعة الصنف"
"Reference Doctype must be one of {0}","يجب أن يكون مرجع DOCTYPE واحد من {0}"
"Filter Total Zero Qty","تصفية مجموع صفر الكمية"
"Plan material for sub-assemblies","المواد خطة للجمعيات الفرعي"
"BOM {0} must be active","قائمة المواد {0} يجب أن تكون نشطة"
"No Items available for transfer","لا توجد عناصر متاحة للنقل"
"Activity Name","اسم النشاط"
"Change Release Date","تغيير تاريخ الإصدار"
"Finished product quantity {0} and For Quantity {1} cannot be different","لا يمكن أن تكون كمية المنتج النهائي {0} و For Quantity {1} مختلفة"
"Closing (Opening + Total)","الإغلاق (الافتتاحي + الإجمالي)"
"Dispatch Notification Attachment","مرفق إعلام الإرسال"
"Number Of Employees","عدد الموظفين"
"Depreciation Entry","حركة الإهلاك"
"Please select the document type first","يرجى تحديد نوع الوثيقة أولاً"
"You have to enable auto re-order in Stock Settings to maintain re-order levels.","يجب عليك تمكين الطلب التلقائي في إعدادات الأسهم للحفاظ على مستويات إعادة الطلب."
"Cancel Material Visits {0} before cancelling this Maintenance Visit","إلغاء المواد الخاصة بالزيارة {0} قبل إلغاء زيارة الصيانة هذه"
"Rate or Discount","سعر أو خصم"
"Bank Details","تفاصيل البنك"
"One Sided","جانب واحد"
"Serial No {0} does not belong to Item {1}","رقم المسلسل {0} لا ينتمي إلى الصنف {1}"
"Required Qty","مطلوب الكمية"
"Custom Data","البيانات المخصصة"
"Warehouses with existing transaction can not be converted to ledger.","المستودعات مع الصفقة الحالية لا يمكن أن يتم تحويلها إلى دفتر الأستاذ."
"Service Day","يوم الخدمة"
"Project Summary for {0}","ملخص المشروع لـ {0}"
"Unable to update remote activity","غير قادر على تحديث النشاط عن بعد"
"Serial no is mandatory for the item {0}","الرقم التسلسلي إلزامي للصنف {0}"
"Total Amount","المبلغ الإجمالي"
"From Date and To Date lie in different Fiscal Year","من التاريخ والوقت تكمن في السنة المالية المختلفة"
"The Patient {0} do not have customer refrence to invoice","لا يتوفر لدى المريض {0} موفر خدمة العملاء للفاتورة"
"Quality Feedback Template","قالب ملاحظات الجودة"
"LMS Activity","نشاط LMS"
"Internet Publishing","نشر على شبكة الإنترنت"
"Number","رقم"
"Creating {0} Invoice","إنشاء الفاتورة {0}"
"Medical Code Standard","الرمز الطبي القياسي"
"Clay Composition (%)","تركيب الطين (٪)"
"Item Group Defaults","افتراضيات مجموعة الأصناف"
"Please save before assigning task.","يرجى حفظ قبل تعيين المهمة."
"Balance Value","قيمة الرصيد"
"Lab Technician","فني مختبر"
"Sales Price List","قائمة مبيعات الأسعار"
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","إذا تم تحديده، سيتم إنشاء عميل، يتم تعيينه إلى المريض. سيتم إنشاء فواتير المرضى ضد هذا العميل. يمكنك أيضا تحديد العميل الحالي أثناء إنشاء المريض."
"Customer isn't enrolled in any Loyalty Program","العميل غير مسجل في أي برنامج ولاء"
"Account Currency","عملة الحساب"
"Sample ID","رقم تعريف العينة"
"Please mention Round Off Account in Company","يرجى ذكر حساب التقريب في الشركة"
"Range","نطاق"
"Default Payable Accounts","الحسابات الدائنة الافتراضي"
"Employee {0} is not active or does not exist","الموظف {0} غير نشط أو غير موجود"
"Components","مكونات"
"Search Term Param Name","Search Param Name"
"Item Barcode","باركود الصنف"
"In Transit","في مرحلة انتقالية"
"Endpoints","النهاية"
"Show Configure Button","إظهار تكوين زر"
"Reading 6","قراءة 6"
"Cannot {0} {1} {2} without any negative outstanding invoice","{0} {1} {2} لا يمكن  من دون أي فاتورة قائمة سالبة"
"From Folio No","من فوليو نو"
"Purchase Invoice Advance","عربون  فاتورة الشراء"
"Every Valid Check-in and Check-out","كل صالح في الاختيار والمغادرة"
"Row {0}: Credit entry can not be linked with a {1}","صف {0}: لا يمكن ربط قيد دائن مع {1}"
"Define budget for a financial year.","تحديد ميزانية السنة المالية"
"ERPNext Account","حساب ERPNext"
"Provide the academic year and set the starting and ending date.","تقديم السنة الدراسية وتحديد تاريخ البداية والنهاية."
"{0} is blocked so this transaction cannot proceed","تم حظر {0} حتى لا تتم متابعة هذه المعاملة"
"Action if Accumulated Monthly Budget Exceeded on MR","الإجراء في حالة تجاوز الميزانية الشهرية المتراكمة على MR"
"Permanent Address Is","العنوان الدائم هو"
"Operation completed for how many finished goods?","اكتمال عملية لكيفية العديد من السلع تامة الصنع؟"
"Healthcare Practitioner {0} not available on {1}","ممارس الرعاية الصحية {0} غير متاح في {1}"
"Payment Terms Template","نموذج شروط الدفع"
"The Brand","العلامة التجارية"
"Rented To Date","مؤجر حتى الآن"
"Allow Multiple Material Consumption","السماح باستهلاك المواد المتعددة"
"Exit Interview Details","تفاصيل مقابلة مغادرة الشركة"
"Is Purchase Item","هل صنف قابل للشراء"
"Purchase Invoice","فاتورة شراء"
"Allow multiple Material Consumption against a Work Order","السماح باستهلاك المواد المتعددة مقابل طلب العمل"
"Voucher Detail No","تفاصيل قسيمة لا"
"New Sales Invoice","فاتورة مبيعات جديدة"
"Total Outgoing Value","إجمالي القيمة الصادرة"
"Appointments","تعيينات"
"Action Initialised","العمل مهيأ"
"Opening Date and Closing Date should be within same Fiscal Year","تاريخ الافتتاح و تاريخ الاغلاق يجب ان تكون ضمن نفس السنة المالية"
"Request for Information","طلب المعلومات"
"Activity Date","تاريخ النشاط"
"{} of {}","{} من {}"
"Rate With Margin (Company Currency)","السعر بالهامش (عملة الشركة)"
"Categories","التصنيفات"
"Sync Offline Invoices","تزامن غير متصل الفواتير"
"Paid","مدفوع"
"Default Priority","الأولوية الافتراضية"
"Program Fee","رسوم البرنامج"
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.
It also updates latest price in all the BOMs.","استبدال قائمة مواد معينة في جميع قوائم المواد الأخرى حيث يتم استخدامها. وسوف تحل محل  قائمة المواد القديمة، تحديث التكلفة وتجديد ""قائمة المواد التي تحتوي بنود مفصصه"" الجدول وفقا لقائمة المواد جديد"
"Employee Skill Map","خريطة مهارة الموظف"
"The following Work Orders were created:","تم إنشاء أوامر العمل التالية:"
"Total in words","إجمالي بالحروف"
"Discharged","تفريغها"
"Lead Time Date","تاريخ و وقت المهلة"
"Employee Advance Summary","ملخص تقديم للموظف"
"Available-for-use Date","التاريخ المتاح للاستخدام"
"Guardian Name","اسم ولي الأمر"
"Has Print Format","لديها تنسيق طباعة"
"Get Started Sections","تبدأ الأقسام"
"Sanctioned","تقرها"
"Total Contribution Amount: {0}","إجمالي مبلغ المساهمة: {0}"
"Row #{0}: Please specify Serial No for Item {1}","الصف # {0}: يرجى تحديد رقم التسلسلي للتاريخ {1}"
"Salary Slips Submitted","إيصالات الراتب المقدمة"
"Crop Cycle","دورة المحاصيل"
"From Place","من المكان"
"Publish on website","نشر على الموقع الإلكتروني"
"Supplier Invoice Date cannot be greater than Posting Date","تاريخ فاتورة المورد لا يمكن أن يكون أكبر من تاريخ التسجيل"
